광역시도,시군구,행정구,구분,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
부산, 중구,,남자,18759,1205,603,942,1505,1154,1230,1260,1573,1593,1752,1881,1434,1077,897,447,206
부산, 중구,,여자,19807,1085,615,1110,1358,963,1027,1033,1434,1592,1918,2166,1677,1447,1190,728,464
부산, 서구,,계,100101,8464,3768,6069,6501,4921,6151,6035,7725,7881,9380,9588,7583,6150,5160,3121,1604
부산, 서구,,남자,48104,4368,1806,2691,3306,2604,3139,3155,3988,3975,4582,4411,3481,2748,2140,1207,503
부산, 서구,,여자,51997,4096,1962,3378,3195,2317,3012,2880,3737,3906,4798,5177,4102,3402,3020,1914,1101
부산, 동구,,계,81089,6090,2760,3933,5327,4532,5094,4940,6180,6452,7430,8002,6416,5360,4568,2691,1314
부산, 동구,,남자,39342,3154,1418,1811,2699,2432,2781,2682,3272,3240,3556,3755,2961,2310,1848,1008,415
부산, 동구,,여자,41747,2936,1342,2122,2628,2100,2313,2258,2908,3212,3874,4247,3455,3050,2720,1683,899
부산, 영도구,,계,109458,8733,4287,5746,6048,4899,6261,6523,8419,8871,10527,11508,8915,7482,6144,3441,1654
부산, 영도구,,남자,53656,4404,2272,2929,3406,2696,3306,3413,4417,4471,5115,5402,4160,3301,2543,1324,497
부산, 영도구,,여자,55802,4329,2015,2817,2642,2203,2955,3110,4002,4400,5412,6106,4755,4181,3601,2117,1157
부산, 부산진구,,계,339223,33382,13367,20867,26565,21793,24582,22840,26826,26859,30079,29518,21536,16516,13198,7492,3803
부산, 부산진구,,남자,162539,16913,6789,9395,13173,10900,12559,11530,13377,12716,14117,13762,10131,7416,5668,2857,1236
부산, 부산진구,,여자,176684,16469,6578,11472,13392,10893,12023,11310,13449,14143,15962,15756,11405,9100,7530,4635,2567
부산, 동래구,,계,254552,30435,12143,13081,15885,14005,18393,18797,22116,21639,22386,21789,16154,11744,8738,4774,2473
부산, 동래구,,남자,123015,15842,6193,6210,8191,7164,9093,8992,10764,10302,10283,10146,7560,5603,3920,2005,747
부산, 동래구,,여자,131537,14593,5950,6871,7694,6841,9300,9805,11352,11337,12103,11643,8594,6141,4818,2769,1726
부산, 남구,,계,262984,29773,12274,17253,16592,13539,18264,19030,22446,20987,21988,22072,16674,13200,10437,5624,2831
부산, 남구,,남자,127898,15247,6244,8152,9004,6963,9237,9500,11240,10280,10325,10163,7685,5998,4651,2307,902
부산, 남구,,여자,135086,14526,6030,9101,7588,6576,9027,9530,11206,10707,11663,11909,8989,7202,5786,3317,1929
부산, 북구,,계,276503,30997,12742,16258,19079,15510,18642,18373,22430,26079,28656,24814,16248,11203,8341,4692,2439
부산, 북구,,남자,135427,15992,6470,7960,10162,7884,9537,9283,10592,12089,13964,12246,7976,5273,3604,1736,659
부산, 북구,,여자,141076,15005,6272,8298,8917,7626,9105,9090,11838,13990,14692,12568,8272,5930,4737,2956,1780
부산, 해운대구,,계,379986,46076,18995,19364,22607,19678,26596,28833,35889,34224,34394,31344,21648,16174,12581,7542,4041
부산, 해운대구,,남자,181834,23791,9797,9220,11524,9655,12707,13770,16891,16272,16238,14865,10168,7423,5328,2871,1314
부산, 해운대구,,여자,198152,22285,9198,10144,11083,10023,13889,15063,18998,17952,18156,16479,11480,8751,7253,4671,2727
부산, 사하구,,계,304746,33431,13426,18025,20062,17090,22224,20706,25088,26259,29054,27461,19349,14057,10040,5619,2855
부산, 사하구,,남자,150249,17150,6843,8742,10829,8995,11569,10656,12431,12647,13913,13127,9364,6618,4448,2092,825
부산, 사하구,,여자,154497,16281,6583,9283,9233,8095,10655,10050,12657,13612,15141,14334,9985,7439,5592,3527,2030
부산, 금정구,,계,228110,21601,10003,16928,16529,11845,14299,14129,17558,19192,21930,20858,15186,11546,8826,4984,2696
부산, 금정구,,남자,111149,11223,5000,8138,9409,6282,7228,7121,8515,9012,10257,9785,7073,5312,3950,1966,878
부산, 금정구,,여자,116961,10378,5003,8790,7120,5563,7071,7008,9043,10180,11673,11073,8113,6234,4876,3018,1818
부산, 강서구,,계,120451,24820,3658,3728,6344,9884,15534,11257,8424,7184,8183,8028,5218,3394,2487,1426,882
부산, 강서구,,남자,61117,12665,1815,1860,3183,4783,8038,6220,4668,3679,3957,3977,2658,1717,1136,518,243
부산, 강서구,,여자,59334,12155,1843,1868,3161,5101,7496,5037,3756,3505,4226,4051,2560,1677,1351,908,639
부산, 연제구,,계,197985,22623,8343,10337,13167,12090,15163,14111,16309,16153,17206,17176,12641,9471,7263,3997,1935
부산, 연제구,,남자,94732,11555,4272,4776,6590,5999,7587,6907,7916,7565,7889,7894,5898,4371,3260,1663,590
부산, 연제구,,여자,103253,11068,4071,5561,6577,6091,7576,7204,8393,8588,9317,9282,6743,5100,4003,2334,1345
부산, 수영구,,계,164784,15373,6041,8533,12732,10664,12329,10999,12936,12609,14109,15079,11567,9150,6738,3840,2085
부산, 수영구,,남자,77880,7965,3035,3860,6206,5274,6268,5496,6199,5865,6226,6705,5227,4227,3053,1598,676
