광역시도,시군구,20~39세계,20~39세남자,20~39세여자,65세이상계,65세이상남자,65세이상여자,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역
인천,계양구,79401,39749,39652,32634,14413,18221,288422,141983,146439,2.4301035729607157,False
인천,남동구,139243,69533,69710,62739,27509,35230,508503,250015,258488,2.2222222222222223,False
인천,동구,13526,6977,6549,12858,5470,7388,60791,30224,30567,1.0186654223051796,False
인천,미추홀구,110480,57892,52588,62042,27162,34880,391216,195241,195975,1.695238709261468,False
인천,부평구,136229,68092,68137,65451,28574,36877,487471,238604,248867,2.0820766680417413,False
인천,서구,144517,72020,72497,49718,22258,27460,515884,257587,258297,2.9163280904300253,False
인천,연수구,95482,46737,48745,32424,14446,17978,345349,170243,175106,3.0067234147545028,False
인천,옹진군,3675,2384,1291,4623,2130,2493,17746,9801,7945,0.5585117888816785,True
인천,중구,35567,18303,17264,17176,7634,9542,123549,63147,60402,2.0102468560782487,False
전남,강진군,4568,2305,2263,10775,4311,6464,30984,14729,16255,0.42004640371229696,True
전남,고흥군,6823,3692,3131,23336,9493,13843,57330,27685,29645,0.26834076105587934,True
전남,곡성군,3932,2159,1773,9129,3616,5513,25420,12377,13043,0.38843246795925074,True
전남,광양시,32494,17257,15237,17573,7594,9979,136701,69766,66935,1.7341375974506346,False
전남,구례군,3138,1609,1529,7798,3124,4674,22648,10860,11788,0.39215183380353935,True
전남,나주시,24039,12088,11951,22275,9094,13181,102246,50367,51879,1.0730415263748596,False
전남,담양군,6745,3535,3210,12503,5174,7329,39391,19376,20015,0.5134767655762617,True
전남,목포시,50155,25455,24700,34227,14864,19363,217091,107238,109853,1.4433049931340753,False
전남,무안군,16346,8459,7887,14833,6242,8591,73190,36499,36691,1.0634396278568057,False
전남,보성군,4721,2486,2235,13817,5536,8281,35928,17253,18675,0.3235145111095028,True
전남,순천시,62033,31329,30704,38896,16920,21976,258508,127392,131116,1.578774167009461,False
전남,신안군,4625,2732,1893,12414,5198,7216,33248,17302,15946,0.304978250362494,True
전남,여수시,57128,30816,26312,47866,21149,26717,257459,129856,127603,1.0994024986420423,False
전남,영광군,8339,4318,4021,13560,5568,7992,46722,22997,23725,0.5930678466076696,True
전남,영암군,9127,4963,4164,12694,5097,7597,49208,25034,24174,0.6560579801481015,True
전남,완도군,6845,3818,3027,14341,6087,8254,44786,22541,22245,0.42214629384282826,True
전남,장성군,6561,3395,3166,11511,4685,6826,38235,18789,19446,0.5500825297541482,True
전남,장흥군,5138,2678,2460,11638,4621,7017,34009,16311,17698,0.4227530503522942,True
전남,진도군,3887,2148,1739,9188,3685,5503,26956,13233,13723,0.3785372224640836,True
전남,함평군,3847,2119,1728,10199,4109,6090,27888,13806,14082,0.3388567506618296,True
전남,해남군,9221,4701,4520,19832,8150,11682,61147,29830,31317,0.45582896329164985,True
전남,화순군,9692,4855,4837,14657,5779,8878,55338,26670,28668,0.6600259261786178,True
전북,고창군,7410,3959,3451,16964,6851,10113,49705,24257,25448,0.4068615892478189,True
전북,군산시,58341,30261,28080,44223,19452,24771,253097,126535,126562,1.2699274133369514,False
전북,김제시,12643,6623,6020,23275,9495,13780,75211,36619,38592,0.5172932330827068,True
전북,남원시,12442,6350,6092,20231,8295,11936,73845,35836,38009,0.6022440808659977,True
전북,덕진구,82008,41558,40450,40176,17818,22358,303902,150420,153482,2.0136399840700916,False
전북,무주군,3071,1622,1449,7291,3001,4290,21857,10779,11078,0.39747634069400634,True
전북,부안군,7273,3861,3412,15492,6425,9067,47159,23144,24015,0.4404854118254583,True
전북,순창군,3732,1790,1942,8467,3373,5094,25304,12130,13174,0.45872209755521437,True
전북,완산구,82950,41284,41666,48062,21082,26980,324110,157102,167008,1.7338437851108983,False
