상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,빽다방 매장수
빽다방,파주교하중앙점,경기도 파주시 청석로 262,126.718283004002,37.7251447321186,경기도,파주시,파주,빽다방,1
빽다방,성남가천대점,경기도 성남시 수정구 성남대로 1330,127.127134131161,37.4484569004601,경기도,수정구,수정,빽다방,1
빽다방,광주태전점,경기도 광주시 고불로 56,127.231800612809,37.3932265178255,경기도,광주시,광주,빽다방,1
빽다방,의정부센트럴점,경기도 의정부시 시민로 80,127.044076338479,37.7379678834912,경기도,의정부시,의정부,빽다방,1
빽다방시흥대야롯데점,시흥대야롯데점,경기도 시흥시 비둘기공원7길 51,126.791887458561,37.4416219197364,경기도,시흥시,시흥,빽다방,1
빽다방시흥거모점,시흥거모점,경기도 시흥시 군자로 517,126.78536045109101,37.344052225751,경기도,시흥시,시흥,빽다방,1
빽다방,판교유스페이스점,경기도 성남시 분당구 대왕판교로 660,127.106877533338,37.4002514151639,경기도,분당구,분당,빽다방,1
빽다방,구리인창늘푸른점,경기도 구리시 건원대로34번길 51,127.14276248032499,37.604859874209396,경기도,구리시,구리,빽다방,1
빽다방용인롯데시네마점,용인롯데시네마점,경기도 용인시 처인구 금령로 93,127.206635725868,37.235666236623395,경기도,처인구,처인,빽다방,1
빽다방,광명사거리역점,경기도 광명시 오리로 987,126.853473691259,37.479502730663704,경기도,광명시,광명,빽다방,1
빽다방,수원정자백설점,경기도 수원시 장안구 정자천로173번길 17,126.994135602258,37.2961459297248,경기도,장안구,장안,빽다방,1
빽다방,수원장안CGV점,경기도 수원시 장안구 경수대로 940,127.008040948127,37.30313855699001,경기도,장안구,장안,빽다방,1
빽다방,아주대점,경기도 수원시 영통구 아주로 26-1,127.04413813622,37.277195947862204,경기도,영통구,영통,빽다방,1
빽다방,용인죽전누리점,경기도 용인시 기흥구 죽전로 20,127.11035502415399,37.3200273231764,경기도,기흥구,기흥,빽다방,1
빽다방광교상현신명점,광교상현신명점,경기도 용인시 수지구 광교중앙로 316,127.069872006567,37.298135014417,경기도,수지구,수지,빽다방,1
빽다방,화성수원대점,경기도 화성시 봉담읍 와우로 108,126.97766271989201,37.2139787675615,경기도,화성시,화성,빽다방,1
빽다방,,경기도 수원시 팔달구 덕영대로 931-1,127.00165772353701,37.2654825975646,경기도,팔달구,팔달,빽다방,1
빽다방시흥월곶점,시흥월곶점,경기도 시흥시 월곶중앙로 59,126.738603463253,37.388534357832,경기도,시흥시,시흥,빽다방,1
빽다방,야탑역대덕점,경기도 성남시 분당구 성남대로926번길 6,127.129837212323,37.412172637737896,경기도,분당구,분당,빽다방,1
빽다방,군포당정삼거리점,경기도 군포시 고산로151번길 7,126.955384050741,37.3481087011211,경기도,군포시,군포,빽다방,1
빽다방,성남을지대점,경기도 성남시 수정구 산성대로 535,127.16432756205,37.458718611146296,경기도,수정구,수정,빽다방,1
