,광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,ID,y,x
92,경북,상주시,14788,6635,27712,90827,44325,46502,0.4788539260969977,True,상주,11,8
93,경북,성주군,6021,2663,11890,38006,19264,18742,0.4479394449116905,True,성주,13,11
94,경북,안동시,30402,14428,34890,148890,73525,75365,0.8270564631699627,True,안동,9,10
95,경북,영덕군,4489,2086,12502,33715,15906,17809,0.3337066069428891,True,영덕,7,11
96,경북,영양군,1865,879,5674,15272,7531,7741,0.3098343320408883,True,영양,9,11
97,경북,영주시,17125,7880,25317,97309,47843,49466,0.6225066161077537,True,영주,10,9
98,경북,영천시,17393,7971,25552,92731,46027,46704,0.6239041953663118,True,영천,12,10
99,경북,예천군,8502,4179,15336,50742,24733,26009,0.5449921752738655,True,예천,10,8
100,경북,울릉군,1506,632,1972,8200,4436,3764,0.640973630831643,True,울릉,8,13
101,경북,울진군,7500,3309,12405,44272,22032,22240,0.5334945586457074,True,울진,6,11
102,경북,의성군,5802,2597,19316,47133,22823,24310,0.26889625181196936,True,의성,11,11
103,경북,청도군,5033,2271,14261,38218,18446,19772,0.3184909894116822,True,청도,13,10
104,경북,청송군,3120,1324,8408,23031,11451,11580,0.3149381541389153,True,청송,10,11
105,경북,칠곡군,26524,12373,15881,108254,55417,52837,1.558214218248221,False,칠곡,12,9
106,광주,광산구,108402,54745,33965,392634,195701,196933,3.2236125423229796,False,광주 광산,21,2
107,광주,남구,52095,26643,34372,209133,100399,108734,1.5502734784126615,False,광주 남구,23,2
108,광주,동구,26870,13001,19994,95738,47381,48357,1.3004901470441133,False,광주 동구,23,3
109,광주,북구,115023,56938,58933,422264,208100,214164,1.9322959971493052,False,광주 북구,22,3
110,광주,서구,77733,39602,38366,289981,141373,148608,2.064432049210238,False,광주 서구,22,2
111,대구,남구,36403,18059,31219,141016,67453,73563,1.1569236682789328,False,대구 남구,15,9
112,대구,달서구,142081,69705,72740,549980,269246,280734,1.9165521033819082,False,대구 달서,16,8
113,대구,달성군,68262,33012,27906,243000,122037,120963,2.36594280799828,False,대구 달성,16,9
114,대구,동구,82204,39988,60517,328007,160082,167925,1.3215460118644349,False,대구 동구,15,10
115,대구,북구,113047,54402,56992,425333,210525,214808,1.9091100505334082,False,대구 북구,14,8
116,대구,서구,39397,18019,34817,167446,83008,84438,1.0350690754516472,False,대구 서구,15,8
117,대구,수성구,88787,44780,60804,405234,195256,209978,1.4729294125386487,False,대구 수성,14,10
118,대구,중구,21428,10915,14236,72483,34690,37793,1.5334363585276762,False,대구 중구,14,9
119,대전,대덕구,43677,20568,24547,170822,85844,84978,1.6758055974253472,False,대전 대덕,13,5
120,대전,동구,59947,28471,37784,221955,111143,110812,1.5070400169383866,False,대전 동구,14,5
121,대전,서구,134767,67755,54211,463747,226805,236942,2.499677187286713,False,대전 서구,16,4
122,대전,유성구,103746,49545,29084,336354,170005,166349,3.4070279191307935,False,대전 유성,15,4
123,대전,중구,54807,27469,41168,227181,110975,116206,1.3344830936649825,False,대전 중구,15,5
124,부산,강서구,35490,17626,13407,120451,61117,59334,2.629372715745506,False,부산 강서,18,8
125,부산,금정구,59601,28544,43238,228110,111149,116961,1.3203200888107682,False,부산 금정,16,10
126,부산,기장군,37473,18881,22967,154532,75833,78699,1.644185135193974,False,부산 기장,16,12
127,부산,남구,65648,32292,48766,262984,127898,135086,1.324365336504942,False,부산 남구,19,11
128,부산,동구,18886,9163,20349,81089,39342,41747,0.9005847953216374,True,부산 동구,18,10
129,부산,동래구,61364,30706,43883,254552,123015,131537,1.399448533600711,False,부산 동래,16,11
130,부산,부산진구,93807,47780,62545,339223,162539,176684,1.5278599408425932,False,부산 부산진,17,10
131,부산,북구,69489,33946,42923,276503,135427,141076,1.5817160962654055,False,부산 북구,17,9
132,부산,사상구,54928,26362,33971,209051,104170,104881,1.5520296723676077,False,부산 사상,18,9
133,부산,사하구,77401,37266,51920,304746,150249,154497,1.4355161787365178,False,부산 사하,19,10
134,부산,서구,23642,11902,23618,100101,48104,51997,1.0078753493098485,False,부산 서구,19,9
135,부산,수영구,44258,22650,33380,164784,77880,86904,1.3571000599161174,False,부산 수영,20,11
136,부산,연제구,50757,25805,35307,197985,94732,103253,1.4617497946582831,False,부산 연제,17,11
137,부산,영도구,22954,10617,27636,109458,53656,55802,0.7683456361267912,True,부산 영도,20,10
138,부산,중구,9289,4458,9567,38566,18759,19807,0.9319535904672311,True,부산 중구,18,11
139,부산,해운대구,88245,45139,61986,379986,181834,198152,1.4564256445003712,False,부산 해운대,17,12
140,서울,강남구,140926,76930,65713,493492,234001,259491,2.3413936359624428,False,서울 강남,8,6
141,서울,강동구,114312,58315,59133,403443,196902,206541,1.9723335531767372,False,서울 강동,5,8
142,서울,강북구,78369,39639,56516,294143,141759,152384,1.4027532026328828,False,서울 강북,3,5
143,서울,강서구,177038,92400,79180,559359,268057,291302,2.3339227077544833,False,서울 강서,6,4
144,서울,관악구,186005,91377,70663,472796,234870,237926,2.586275702984589,False,서울 관악,7,5
145,서울,광진구,113351,59479,44612,331747,159187,172560,2.666502286380346,False,서울 광진,6,7
146,서울,구로구,112888,57708,61715,386239,188979,197260,1.8701450214696589,False,서울 구로,9,4
