상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,커피빈 매장수
커피빈,,경상북도 울진군 죽변면 죽변9길 1,129.42106615479298,37.0601263863323,경상북도,울진군,울진,커피빈,1
커피빈,,경상북도 경주시 양북면 어일중앙길 17,129.442111963191,35.7915144365154,경상북도,경주시,경주,커피빈,1
커피빈,,광주광역시 서구 상무민주로 82,126.85964497330299,35.1577887104169,광주광역시,서구,광주 서구,커피빈,1
커피빈,,광주광역시 남구 효우로93번길 5,126.90503999226401,35.1053858986132,광주광역시,남구,광주 남구,커피빈,1
커피빈,코리아광주봉선점,광주광역시 남구 봉선로 168,126.91367106953699,35.1228424589345,광주광역시,남구,광주 남구,커피빈,1
커피빈,코리아광주문화전당역점,광주광역시 동구 서석로 44,126.918403973487,35.1465734032559,광주광역시,동구,광주 동구,커피빈,1
커피빈,KTX동대구역점,대구광역시 동구 동대구로 550,128.628726138595,35.8790975727776,대구광역시,동구,대구 동구,커피빈,1
커피빈,,대구광역시 수성구 동대구로74길 25,128.62872818713,35.863937360056504,대구광역시,수성구,대구 수성,커피빈,1
커피빈,코리아대구현대백화점점,대구광역시 중구 달구벌대로 2077,128.590635683154,35.866636334409705,대구광역시,중구,대구 중구,커피빈,1
커피빈,코리아대구동성로점,대구광역시 중구 동성로2길 50,128.596959526306,35.8682544996474,대구광역시,중구,대구 중구,커피빈,1
커피빈,코리아대구롯데영플라자점,대구광역시 중구 국채보상로 585,128.594746152582,35.8713930644034,대구광역시,중구,대구 중구,커피빈,1
더커피빈스,,대구광역시 수성구 청수로40길 75,128.62990144716002,35.8358820386355,대구광역시,수성구,대구 수성,커피빈,1
커피빈,,대전광역시 동구 동서대로 1689,127.43669956546302,36.3502454253977,대전광역시,동구,대전 동구,커피빈,1
커피빈,코리아대전카이스트점,대전광역시 유성구 대학로 291,127.357137252959,36.3681752544551,대전광역시,유성구,대전 유성,커피빈,1
커피빈,,대전광역시 동구 동서대로 1720,127.44033317826599,36.350028172467,대전광역시,동구,대전 동구,커피빈,1
커피빈,코리아대전둔산점,대전광역시 서구 둔산로 26,127.376759362967,36.3516692370579,대전광역시,서구,대전 서구,커피빈,1
커피빈,코리아대전탄방동점,대전광역시 서구 문정로 76,127.38769682405199,36.346417421321995,대전광역시,서구,대전 서구,커피빈,1
커피빈,코리아부산장산역점,부산광역시 해운대구 세실로 48,129.178573776255,35.169699726351,부산광역시,해운대구,부산 해운대,커피빈,1
커피빈,코리아부산광복동점,부산광역시 중구 광복로 35,129.029023375864,35.0994824207401,부산광역시,중구,부산 중구,커피빈,1
더커피빈,,부산광역시 해운대구 센텀동로 9,129.132482667416,35.1698870198936,부산광역시,해운대구,부산 해운대,커피빈,1
커피빈,부산역점,부산광역시 동구 중앙대로 206,129.045081835992,35.117625470822,부산광역시,동구,부산 동구,커피빈,1
커피빈,부산무역센터점,부산광역시 중구 충장대로 11,129.037757663565,35.1058349736802,부산광역시,중구,부산 중구,커피빈,1
커피빈,코리아해운대한화콘도앞점,부산광역시 해운대구 마린시티3로 51,129.145861210644,35.1540320752488,부산광역시,해운대구,부산 해운대,커피빈,1
커피빈,코리아부산서면태화점,부산광역시 부산진구 중앙대로 698-1,129.059500371307,35.1551515820862,부산광역시,부산진구,부산 부산진,커피빈,1
커피빈코리아해운대점,코리아해운대점,부산광역시 해운대구 해운대해변로 277,129.16158433662,35.1599035804847,부산광역시,해운대구,부산 해운대,커피빈,1
커피빈코리아부산수영역점,코리아부산수영역점,부산광역시 수영구 수영로 667,129.114506037609,35.1653755615451,부산광역시,수영구,부산 수영,커피빈,1
커피빈부산정관점,부산정관점,부산광역시 기장군 정관읍 정관로 563,129.175653836502,35.32193300746471,부산광역시,기장군,부산 기장,커피빈,1
커피빈,코리아부산서면서전로점,부산광역시 부산진구 서전로 12,129.060903273881,35.157537009274805,부산광역시,부산진구,부산 부산진,커피빈,1
커피빈,빌리프,부산광역시 강서구 대저로 299,128.984380840725,35.21134722666471,부산광역시,강서구,부산 강서,커피빈,1
커피빈,코리아해운대센텀호텔점,부산광역시 해운대구 센텀3로 20,129.132838324273,35.1678285408056,부산광역시,해운대구,부산 해운대,커피빈,1
커피빈코리아선릉로93길점,코리아선릉로93길점,서울특별시 강남구 선릉로93길 6,127.047883157395,37.505675040057994,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아교대점,서울특별시 서초구 서초중앙로 118,127.014217033954,37.492387659064704,서울특별시,서초구,서울 서초,커피빈,1
커피빈,코리아대학로대명거리점,서울특별시 종로구 대명길 25,127.000170846364,37.5831492497775,서울특별시,종로구,서울 종로,커피빈,1
커피빈,코리아선릉역점,서울특별시 강남구 테헤란로 335,127.04822290823499,37.5047496908904,서울특별시,강남구,서울 강남,커피빈,1
커피빈코리아강남역먹자골목점,코리아강남역먹자골목점,서울특별시 강남구 테헤란로1길 29,127.027279995112,37.500100847200606,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아청담에스점,서울특별시 강남구 압구정로 461,127.04721583976101,37.5252495612624,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아강남역랭기지타워점,서울특별시 강남구 테헤란로4길 28,127.030074547889,37.4965196043765,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아청담성당점,서울특별시 강남구 삼성로 716,127.05002149174601,37.5199018862561,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아현대자동차여의도점,서울특별시 영등포구 국제금융로 20,126.92727701435699,37.524878809187605,서울특별시,영등포구,서울 영등포,커피빈,1
커피빈,코리아신촌현대백화점점,서울특별시 서대문구 신촌로 83,126.93582782049101,37.556069154454,서울특별시,서대문구,서울 서대문,커피빈,1
