ID,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
천안 동남,5,6,1,4,0.7777777777777778
천안 서북,14,12,0,6,0.6
철원,2,0,0,0,0.0
청도,2,1,0,0,0.5
청송,2,0,0,0,0.0
청주 상당,9,5,1,2,0.5454545454545454
청주 서원,6,4,0,3,0.4444444444444444
청주 청원,8,3,0,1,0.3333333333333333
청주 흥덕,13,10,1,4,0.6470588235294118
춘천,27,10,1,4,0.3548387096774194
충주,6,6,0,1,0.8571428571428571
칠곡,6,1,0,0,0.16666666666666666
태백,1,1,0,0,1.0
태안,2,0,0,0,0.0
통영,1,2,1,3,0.75
파주,19,7,1,8,0.2962962962962963
평창,2,2,0,0,1.0
평택,14,10,1,5,0.5789473684210527
포천,11,5,0,1,0.4166666666666667
포항 남구,4,10,0,1,2.0
포항 북구,10,6,1,2,0.5833333333333334
하남,19,10,1,1,0.55
함안,1,0,2,0,2.0
함양,1,1,0,0,1.0
합천,1,0,0,0,0.0
해남,3,0,1,0,0.3333333333333333
홍성,4,0,0,2,0.0
홍천,3,2,0,1,0.5
화성,26,19,5,11,0.6486486486486487
화천,1,0,0,0,0.0
횡성,1,0,0,0,0.0
