상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,이디야 매장수
이디야커피,주문진점,강원도 강릉시 주문진읍 항구로 50,128.82694396070102,37.89317031994371,강원도,강릉시,강릉,이디야,1
이디야커피,정동진역점,강원도 강릉시 강동면 정동역길 17,129.032806594647,37.691349343058896,강원도,강릉시,강릉,이디야,1
이디야커피,강릉입암남부점,강원도 강릉시 성덕포남로 74,128.917800509714,37.7613009895965,강원도,강릉시,강릉,이디야,1
이디야커피,강릉터미널점,강원도 강릉시 하슬라로 24,128.879243068134,37.7552247334072,강원도,강릉시,강릉,이디야,1
이디야커피,대관령점,강원도 평창군 대관령면 눈마을길 11,128.70984189281901,37.669335440534,강원도,평창군,평창,이디야,1
이디야커피,속초로데오점,강원도 속초시 중앙로 127,128.589955609419,38.2027991457165,강원도,속초시,속초,이디야,1
이디야커피,강원정선점,강원도 정선군 정선읍 비봉로 55,128.66437830789602,37.3813302494612,강원도,정선군,정선,이디야,1
이디야커피,춘천삭주로점,강원도 춘천시 삭주로 197-1,127.752143393644,37.8869118021163,강원도,춘천시,춘천,이디야,1
이디야커피,,경기도 안양시 만안구 양화로 34,126.91421016450899,37.3966838188295,경기도,만안구,안양 만안,이디야,1
이디야커피숍,,경기도 화성시 10용사로 343-2,127.055809840977,37.199416910120895,경기도,화성시,화성,이디야,1
이디야커피가현초교점,가현초교점,경기도 김포시 김포한강2로 96,126.672791520683,37.63886619687771,경기도,김포시,김포,이디야,1
이디야커피,,경기도 김포시 중구로 23,126.712012111898,37.623389088001,경기도,김포시,김포,이디야,1
이디야커피,,경기도 김포시 사우중로 15,126.71678968626001,37.6169628675629,경기도,김포시,김포,이디야,1
이디야커피,,경기도 용인시 기흥구 동백중앙로 358-8,127.160003543034,37.282057668959,경기도,기흥구,용인 기흥,이디야,1
이디야커피,망포점,경기도 수원시 영통구 영통로 115,127.056828883512,37.2379109623855,경기도,영통구,수원 영통,이디야,1
이디야커피,하남덕풍점,경기도 하남시 신장로 134,127.20354010285801,37.538508486985,경기도,하남시,하남,이디야,1
이디야커피단대캠퍼스점,단대캠퍼스점,경기도 용인시 수지구 죽전로 150,127.124390611882,37.323916584609705,경기도,수지구,용인 수지,이디야,1
이디아,하남점,경기도 하남시 하남대로 821,127.206460303445,37.541636803714205,경기도,하남시,하남,이디야,1
이디아커피,,경기도 여주시 여흥로 111-1,127.63589906197599,37.2959852833938,경기도,여주시,여주,이디야,1
이디야커피,의정부가능동SK점,경기도 의정부시 신촌로 18-7,127.03697861003201,37.7498666323102,경기도,의정부시,의정부,이디야,1
이디야커피,,경기도 부천시 소사로 753,126.804575938671,37.523358142897294,경기도,부천시,부천,이디야,1
이디야커피,안양중앙점,경기도 안양시 만안구 안양로 283,126.921967881269,37.397556748504,경기도,만안구,안양 만안,이디야,1
이디아,,경기도 고양시 덕양구 화중로130번길 32,126.83360016046998,37.6383131993097,경기도,덕양구,고양 덕양,이디야,1
이디아커피,,경기도 수원시 팔달구 정조로 797,127.01641779381599,37.2792035633146,경기도,팔달구,수원 팔달,이디야,1
이디야커피,의정부동부점,경기도 의정부시 평화로 545,127.04704810615401,37.740685997235,경기도,의정부시,의정부,이디야,1
이디아커피,,경기도 수원시 팔달구 권광로 169,127.031929787041,37.262814470291296,경기도,팔달구,수원 팔달,이디야,1
이디야커피,진접장현리점,경기도 남양주시 진접읍 장현로 77,127.18086950741801,37.7176073931042,경기도,남양주시,남양주,이디야,1
이디야커피,안양덕천점,경기도 안양시 만안구 덕천로48번길 48,126.938533752375,37.3857224682616,경기도,만안구,안양 만안,이디야,1
이디야커피,안산한도병원점,경기도 안산시 단원구 선부광장로 95,126.80816046930201,37.3331830582522,경기도,단원구,안산 단원,이디야,1
이디야커피,시흥목감점,경기도 시흥시 동서로 1086,126.860221362339,37.3857594809915,경기도,시흥시,시흥,이디야,1
이디야일산강선마을,,경기도 고양시 일산서구 중앙로 1376,126.76660401480801,37.667779644899,경기도,일산서구,고양 일산서,이디야,1
이디야커피,,경기도 양주시 장흥면 가마골로 4,126.97518291866001,37.7192155273946,경기도,양주시,양주,이디야,1
이디야커피,중산점,경기도 고양시 일산동구 중산로 247,126.780385932621,37.694160344746706,경기도,일산동구,고양 일산동,이디야,1
이디아커피,,경기도 용인시 처인구 금령로 63,127.20329481076,37.235067100356005,경기도,처인구,용인 처인,이디야,1
이디야커피,계원예대점,경기도 의왕시 계원대학로 40,126.975799801259,37.378977716389606,경기도,의왕시,의왕,이디야,1
이디야커피,산본역사점,경기도 군포시 번영로 504,126.93316604508999,37.3580925043367,경기도,군포시,군포,이디야,1
이디야커피,,경기도 의왕시 포일세거리로 21,126.986192264431,37.3970976461961,경기도,의왕시,의왕,이디야,1
이디야황골마을,,경기도 수원시 영통구 봉영로1759번길 7,127.081418851877,37.265921078873504,경기도,영통구,수원 영통,이디야,1
이디야커피,에스쁘레쏘서현점,경기도 성남시 분당구 황새울로342번길 11,127.123644006498,37.386220946998,경기도,분당구,성남 분당,이디야,1
이디야커피,구운동점,경기도 수원시 권선구 구운중로4번길 20,126.97464311277001,37.275551112060796,경기도,권선구,수원 권선,이디야,1
이디야에스프레소,,경기도 성남시 중원구 광명로 373,127.16704754951701,37.4468616977582,경기도,중원구,성남 중원,이디야,1
이디야커피,가평점,경기도 가평군 가평읍 가화로 104,127.514300830716,37.8289466714644,경기도,가평군,가평,이디야,1
이디야커피,동탄능동점,경기도 화성시 동탄원천로 360,127.05740945798401,37.2184338561841,경기도,화성시,화성,이디야,1
이디야커피,산본점,경기도 군포시 산본로343번길 23,126.930352783622,37.359860223831504,경기도,군포시,군포,이디야,1
이디야커피,,경기도 고양시 일산동구 정발산로 24,126.772025233806,37.655888808787,경기도,일산동구,고양 일산동,이디야,1
이디야커피,판교점,경기도 성남시 분당구 판교역로 182,127.11004539520799,37.39693231050921,경기도,분당구,성남 분당,이디야,1
이디야커피,망포역점,경기도 수원시 영통구 영통로 195,127.05579157160601,37.2451745362739,경기도,영통구,수원 영통,이디야,1
이디야커피,,경기도 안산시 단원구 원선1로 37,126.802245190156,37.326221181745,경기도,단원구,안산 단원,이디야,1
이디아,대진대점,경기도 포천시 선마로 4,127.166728087993,37.8538507707976,경기도,포천시,포천,이디야,1
이디야커피,의정부신곡점,경기도 의정부시 추동로19번길 21,127.05720677957198,37.7439573021436,경기도,의정부시,의정부,이디야,1
이디야커피,고양관산점,경기도 고양시 덕양구 통일로 774,126.864534093139,37.6880268330754,경기도,덕양구,고양 덕양,이디야,1
이디야커피,구리교문동점,경기도 구리시 경춘로 176,127.13485212196899,37.600414054537204,경기도,구리시,구리,이디야,1
이디야커피,능곡점,경기도 고양시 덕양구 지도로 100,126.82403752511298,37.6260815313454,경기도,덕양구,고양 덕양,이디야,1
이디야커피,경복대점,경기도 남양주시 진접읍 경복대로 426,127.212253585053,37.733787560032,경기도,남양주시,남양주,이디야,1
이디야커피,봉일천점,경기도 파주시 조리읍 봉천로 34-1,126.80793755318899,37.7438081948314,경기도,파주시,파주,이디야,1
이디야커피,포천신읍점,경기도 포천시 중앙로 134,127.20396928523998,37.8979515229647,경기도,포천시,포천,이디야,1
이디야커피,,경기도 김포시 사우중로 52,126.719330493625,37.6193961759532,경기도,김포시,김포,이디야,1
이디야커피,이천로데오점,경기도 이천시 영창로 202-8,127.44455687830099,37.2806891109341,경기도,이천시,이천,이디야,1
이디야커피,부천북부역점,경기도 부천시 부일로 457,126.780968701465,37.4863275716999,경기도,부천시,부천,이디야,1
이디야커피,수원팔달로점,경기도 수원시 팔달구 정조로 754,127.016917900003,37.2754321618062,경기도,팔달구,수원 팔달,이디야,1
이디야커피,이마트화정점,경기도 고양시 덕양구 백양로 79,126.833382328198,37.6326796704319,경기도,덕양구,고양 덕양,이디야,1
이디야커피,시흥능곡점,경기도 시흥시 장현능곡로 198,126.81198471761101,37.36906569117689,경기도,시흥시,시흥,이디야,1
이디야커피,동백역점,경기도 용인시 기흥구 동백중앙로 177,127.15375261478701,37.2702808668221,경기도,기흥구,용인 기흥,이디야,1
이디야커피,수원디지털엠파이어2점,경기도 수원시 영통구 신원로 88,127.050262510626,37.247455142690896,경기도,영통구,수원 영통,이디야,1
코레일유통이디야커피,,경기도 고양시 일산서구 경의로 672,126.769461467572,37.682126522603895,경기도,일산서구,고양 일산서,이디야,1
이디야커피,의왕역점,경기도 의왕시 부곡중앙로 27,126.952077844324,37.321245476632,경기도,의왕시,의왕,이디야,1
이디야에스프레소,,경기도 군포시 산본로343번길 23,126.930352783622,37.359860223831504,경기도,군포시,군포,이디야,1
이디야커피,대화마을점,경기도 고양시 일산서구 대화로 138,126.735516426311,37.6709103068794,경기도,일산서구,고양 일산서,이디야,1
이디야커피,구일산점,경기도 고양시 일산서구 원일로 117,126.775154679363,37.685447441876896,경기도,일산서구,고양 일산서,이디야,1
이디야커피,부천강남시장점,경기도 부천시 옥산로 158,126.780428875483,37.5077035816079,경기도,부천시,부천,이디야,1
이디야커피,주엽역점,경기도 고양시 일산서구 중앙로 1437,126.760479515497,37.6700490505595,경기도,일산서구,고양 일산서,이디야,1
이디야커피,,경기도 광명시 소하로 97,126.88453513444999,37.4465873861951,경기도,광명시,광명,이디야,1
이디야커피,양주덕계중앙점,경기도 양주시 평화로 1491,127.049609535631,37.8233567094951,경기도,양주시,양주,이디야,1
이디야커피,원흥도내점,경기도 고양시 덕양구 도래울로 34,126.86851472296499,37.6289672300487,경기도,덕양구,고양 덕양,이디야,1
이디야커피,별내북부점,경기도 남양주시 덕송2로10번길 27-12,127.1162462034,37.667313627881704,경기도,남양주시,남양주,이디야,1
이디야커피,,경기도 부천시 길주로 307,126.77674249125401,37.5034936719449,경기도,부천시,부천,이디야,1
이디야커피,남양주양지점,경기도 남양주시 오남읍 진건오남로 778,127.20486226253,37.69716498107179,경기도,남양주시,남양주,이디야,1
이디야커피,일산가좌마을점,경기도 고양시 일산서구 가좌4로 2,126.71983922504299,37.6861213153285,경기도,일산서구,고양 일산서,이디야,1
